Action,HRID,Tars Key,Rate Level,Product,External System Code,External Code,Nb Pax,Tars Key Type,Declared in Systems,Booking Limit
A,HC1I6,,,SWA,AA,J6S,3,,No,No
A,HC1I6,,,SWA,AA,J6S,4,,No,No
A,HC1I6,,,SWA,AA,J6S,5,,No,No
A,HC1I6,,,SWA,AA,J6S,6,,No,No
A,HC1I6,,,SWA,UA,J6S,1,,No,No
A,HC1I6,,,SWA,UA,J6S,2,,No,No
A,HC1I6,,,SWA,UA,J6S,3,,No,No
A,HC1I6,,,SWA,UA,J6S,4,,No,No
A,HC1I6,,,SWA,UA,J6S,5,,No,No
A,HC1I6,,,SWA,UA,J6S,6,,No,No
A,HC1I6,,,SWA,TW,J6S,1,,No,No
A,HC1I6,,,SWA,TW,J6S,2,,No,No
A,HC1I6,,,SWA,TW,J6S,3,,No,No
A,HC1I6,,,SWA,TW,J6S,4,,No,No
A,HC1I6,,,SWA,TW,J6S,5,,No,No
A,HC1I6,,,SWA,TW,J6S,6,,No,No
A,HC1I6,,,SWA,WB,J6S,1,,No,No
A,HC1I6,,,SWA,WB,J6S,2,,No,No
A,HC1I6,,,SWA,WB,J6S,3,,No,No
A,HC1I6,,,SWA,WB,J6S,4,,No,No
A,HC1I6,,,SWA,WB,J6S,5,,No,No
A,HC1I6,,,SWA,WB,J6S,6,,No,No
A,HC1I6,,,SWA,DQ,SWA,1,,No,No
A,HC1I6,,,SWA,DQ,SWA,2,,No,No
A,HC1I6,,,SWA,DQ,SWA,3,,No,No
A,HC1I6,,,SWA,DQ,SWA,4,,No,No
A,HC1I6,,,SWA,DQ,SWA,5,,No,No
A,HC1I6,,,SWA,DQ,SWA,6,,No,No
A,HC1I6,,,SWA,HO,SWA,1,,No,No
A,HC1I6,,,SWA,HO,SWA,2,,No,No
A,HC1I6,,,SWA,HO,SWA,3,,No,No
A,HC1I6,,,SWA,HO,SWA,4,,No,No
A,HC1I6,,,SWA,HO,SWA,5,,No,No
A,HC1I6,,,SWA,HO,SWA,6,,No,No
A,HC1I6,,,SWA,TE,SWA,1,,No,No
A,HC1I6,,,SWA,TE,SWA,2,,No,No
A,HC1I6,,,SWA,TE,SWA,3,,No,No
A,HC1I6,,,SWA,TE,SWA,4,,No,No
A,HC1I6,,,SWA,TE,SWA,5,,No,No
A,HC1I6,,,SWA,TE,SWA,6,,No,No
A,HC1I6,,,SXA,1A,S4S,1,,No,No
A,HC1I6,,,SXA,1A,S4S,2,,No,No
A,HC1I6,,,SXA,1A,S4S,3,,No,No
A,HC1I6,,,SXA,1A,S4S,4,,No,No
A,HC1I6,,,SXA,AA,S4S,1,,No,No
A,HC1I6,,,SXA,AA,S4S,2,,No,No
A,HC1I6,,,SXA,AA,S4S,3,,No,No
A,HC1I6,,,SXA,AA,S4S,4,,No,No
A,HC1I6,,,SXA,UA,S4S,1,,No,No
A,HC1I6,,,SXA,UA,S4S,2,,No,No
A,HC1I6,,,SXA,UA,S4S,3,,No,No
A,HC1I6,,,SXA,UA,S4S,4,,No,No
A,HC1I6,,,SXA,TW,S4S,1,,No,No
A,HC1I6,,,SXA,TW,S4S,2,,No,No
A,HC1I6,,,SXA,TW,S4S,3,,No,No
A,HC1I6,,,SXA,TW,S4S,4,,No,No
A,HC1I6,,,SXA,WB,S4S,1,,No,No
A,HC1I6,,,SXA,WB,S4S,2,,No,No
